id,name,followers_total,popularity,external_urls_spotify
4lPl9gqgox3JDiaJ1yklKh,Tierra Whack,474660,57,https://open.spotify.com/artist/4lPl9gqgox3JDiaJ1yklKh
1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,2637459,71,https://open.spotify.com/artist/1YfEcTuGvBQ8xSD1f53UnK
6cK3NBO6uP7hh0oyuVELFl,Saweetie,2063443,69,https://open.spotify.com/artist/6cK3NBO6uP7hh0oyuVELFl
3Y7RZ31TRPVadSFVy1o8os,H.E.R.,7180247,74,https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os
64H8UqGLbJFHwKtGxiV8OP,THE ANXIETY,167892,58,https://open.spotify.com/artist/64H8UqGLbJFHwKtGxiV8OP
3rWZHrfrsPBxVy692yAIxF,WILLOW,2414855,70,https://open.spotify.com/artist/3rWZHrfrsPBxVy692yAIxF
1xoxekeb8jUVHKJB7m6bfg,Tyler Cole,30583,58,https://open.spotify.com/artist/1xoxekeb8jUVHKJB7m6bfg
6XS2GPyMwHEgAn0VspnhMf,Asha Puthli,16228,30,https://open.spotify.com/artist/6XS2GPyMwHEgAn0VspnhMf
0Eee47Sroig9UczLZGtyVn,TWEAKS,7084,35,https://open.spotify.com/artist/0Eee47Sroig9UczLZGtyVn
4c2ighP1wj8E5dVGJDCOiB,Kari Faux,130582,44,https://open.spotify.com/artist/4c2ighP1wj8E5dVGJDCOiB
7rXMvXRnWHaSwnVvPeUUfw,Gloria Groove,3031621,68,https://open.spotify.com/artist/7rXMvXRnWHaSwnVvPeUUfw
3aQeKQSyrW4qWr35idm0cy,T-Pain,4636588,77,https://open.spotify.com/artist/3aQeKQSyrW4qWr35idm0cy
6veh5zbFpm31XsPdjBgPER,BIA,545924,68,https://open.spotify.com/artist/6veh5zbFpm31XsPdjBgPER
3EaMWS6JZsJwBICEFUsWPR,Rakiyah,18309,26,https://open.spotify.com/artist/3EaMWS6JZsJwBICEFUsWPR
1cWyN6TA0n4j9JtqI0sOpt,TeaMarrr,130299,38,https://open.spotify.com/artist/1cWyN6TA0n4j9JtqI0sOpt
1OzwSkNJ5OCaMAgdnBFguj,Falana,12580,17,https://open.spotify.com/artist/1OzwSkNJ5OCaMAgdnBFguj
0IF46mUS8NXjgHabxk2MCM,Kelis,597556,62,https://open.spotify.com/artist/0IF46mUS8NXjgHabxk2MCM
6RIJu05yhEIYskbVgxmk3R,Angel,65024,42,https://open.spotify.com/artist/6RIJu05yhEIYskbVgxmk3R
16AILHA3N2C3ngRuR2FdfH,Saint Harison,69034,48,https://open.spotify.com/artist/16AILHA3N2C3ngRuR2FdfH
1Naqgo0HMRoumRP0e2MXD9,Tiana Major9,97686,48,https://open.spotify.com/artist/1Naqgo0HMRoumRP0e2MXD9
4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,3810491,64,https://open.spotify.com/artist/4qwGe91Bz9K2T8jXTZ815W
1LFKKuzn302wp15dYH28id,Tammy Wynette,592396,52,https://open.spotify.com/artist/1LFKKuzn302wp15dYH28id
1FE0rls8gfQT3laAeRYNgl,Loretta Lynn,750039,55,https://open.spotify.com/artist/1FE0rls8gfQT3laAeRYNgl
7dNsHhGeGU5MV01r06O8gK,Patsy Cline,840309,59,https://open.spotify.com/artist/7dNsHhGeGU5MV01r06O8gK
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,6104755,73,https://open.spotify.com/artist/6kACVPfCOnqzgfEF5ryl0x
1sXbwvCQLGZnaH0Jp2HTVc,Linda Ronstadt,906083,61,https://open.spotify.com/artist/1sXbwvCQLGZnaH0Jp2HTVc
5s6TJEuHTr9GR894wc6VfP,Emmylou Harris,357281,58,https://open.spotify.com/artist/5s6TJEuHTr9GR894wc6VfP
0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,2794853,68,https://open.spotify.com/artist/0XKOBt59crntr7HQXXO8Yz
70kkdajctXSbqSMJbQO424,Kacey Musgraves,1276940,76,https://open.spotify.com/artist/70kkdajctXSbqSMJbQO424
7emRV8AluG3d4e5T0DZiK9,Loggins & Messina,485480,50,https://open.spotify.com/artist/7emRV8AluG3d4e5T0DZiK9
25IG9fa7cbdmCIy3OnuH57,The Chicks,1407619,65,https://open.spotify.com/artist/25IG9fa7cbdmCIy3OnuH57
5e4Dhzv426EvQe3aDb64jL,Shania Twain,3001661,72,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL
6LqNN22kT3074XbTVUrhzX,Kesha,7703861,76,https://open.spotify.com/artist/6LqNN22kT3074XbTVUrhzX
6xvpfMjWTougrRRtK7iikz,Mason Ramsey,156616,45,https://open.spotify.com/artist/6xvpfMjWTougrRRtK7iikz
5J6L7N6B4nI1M5cwa29mQG,Alison Krauss,357290,59,https://open.spotify.com/artist/5J6L7N6B4nI1M5cwa29mQG
7EK1bQADBoqbYXnT4Cqv9w,John Denver,2071639,68,https://open.spotify.com/artist/7EK1bQADBoqbYXnT4Cqv9w
7dmeVSH4lJqxXU7C87dKIB,Tanya Tucker,656707,53,https://open.spotify.com/artist/7dmeVSH4lJqxXU7C87dKIB
36KsCCwgI0Dep97yVJWmkK,Monsieur Periné,587668,58,https://open.spotify.com/artist/36KsCCwgI0Dep97yVJWmkK
2Otnykd696YidQYfEGVmNq,Vicente Garcia,441657,60,https://open.spotify.com/artist/2Otnykd696YidQYfEGVmNq
4IVAbR2w4JJNJDDRFP3E83,6LACK,4587040,73,https://open.spotify.com/artist/4IVAbR2w4JJNJDDRFP3E83
5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,2351136,61,https://open.spotify.com/artist/5xuNBZoM7z1Vv8IQ6uM0p6
04vj3iPUiVh5melWr0w3xT,Christine and the Queens,684047,56,https://open.spotify.com/artist/04vj3iPUiVh5melWr0w3xT
4Ge8xMJNwt6EEXOzVXju9a,Caroline Polachek,445778,61,https://open.spotify.com/artist/4Ge8xMJNwt6EEXOzVXju9a
4dpARuHxo51G3z768sgnrY,Adele,53631236,85,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
3PhoLpVuITZKcymswpck5b,Elton John,12793458,83,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b
6n28c9qs9hNGriNa72b26u,PNAU,223546,71,https://open.spotify.com/artist/6n28c9qs9hNGriNa72b26u
1lYNHBChDDWC233o6ribbt,EASHA,67476,44,https://open.spotify.com/artist/1lYNHBChDDWC233o6ribbt
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,53297160,88,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
6PvvGcCY2XtUcSRld1Wilr,Silk Sonic,857000,71,https://open.spotify.com/artist/6PvvGcCY2XtUcSRld1Wilr
6xdRb2GypJ7DqnWAI2mHGn,MUNA,362827,59,https://open.spotify.com/artist/6xdRb2GypJ7DqnWAI2mHGn
2AmfMGi3WZMxqFDHissIAe,The Aces,283935,49,https://open.spotify.com/artist/2AmfMGi3WZMxqFDHissIAe
42TFhl7WlMRXiNqzSrnzPL,Lou Reed,1768090,61,https://open.spotify.com/artist/42TFhl7WlMRXiNqzSrnzPL
3nuc29fYGlQbIrwh4yrNWd,Lake Street Dive,535647,60,https://open.spotify.com/artist/3nuc29fYGlQbIrwh4yrNWd
3A2jfQOLgo5rV4GYFHbEA2,Diane Warren,13925,39,https://open.spotify.com/artist/3A2jfQOLgo5rV4GYFHbEA2
3e7awlrlDSwF3iM0WBjGMp,Little Mix,11788504,74,https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp
1FtBEIWAwvw5ymBen5GICR,Chlöe,411477,59,https://open.spotify.com/artist/1FtBEIWAwvw5ymBen5GICR
