artist_id,genre
2RqrWplViWHSGLzlhmDcbt,experimental house
3J0BpFVUc9LeOIVeN5uNhU,r&b
6PgkNi6EyAfgiKtFwAwvbH,nyc pop
3uX1tstdmFJyxW9b5mSNlU,synth punk
2qnpHrOzdmOo1S4ox3j17x,hardcore punk
2qnpHrOzdmOo1S4ox3j17x,modern melodic hardcore
65dGLGjkw3UbddUg2GKQoZ,canadian modern jazz
65dGLGjkw3UbddUg2GKQoZ,indie soul
6LEeAFiJF8OuPx747e1wxR,alternative r&b
6LEeAFiJF8OuPx747e1wxR,art pop
6LEeAFiJF8OuPx747e1wxR,escape room
6LEeAFiJF8OuPx747e1wxR,indie soul
6LEeAFiJF8OuPx747e1wxR,indietronica
6LEeAFiJF8OuPx747e1wxR,metropopolis
6vcPgFOkMWBoY6Ks6eMEWj,wonky
3MM3uKNdJbvefUael12dl3,alternative r&b
2kQnsbKnIiMahOetwlfcaS,alternative r&b
2kQnsbKnIiMahOetwlfcaS,indie soul
4cUkGQyhLFqKHBtL58HYVp,indie soul
4cUkGQyhLFqKHBtL58HYVp,la pop
0DtXHIvJ8NWBg5pGvsgWnR,alternative r&b
0DtXHIvJ8NWBg5pGvsgWnR,escape room
0DtXHIvJ8NWBg5pGvsgWnR,trap queen
3ycxRkcZ67ALN3GQJ57Vig,alternative r&b
3ycxRkcZ67ALN3GQJ57Vig,indie soul
1A9o3Ljt67pFZ89YtPPL5X,alternative r&b
1A9o3Ljt67pFZ89YtPPL5X,scandinavian r&b
1A9o3Ljt67pFZ89YtPPL5X,swedish soul
4VA3EAvncrTucjTmrvd4GE,alternative r&b
4VA3EAvncrTucjTmrvd4GE,indie soul
21C9Dbg9CD3Dv8NaD7iW8e,alternative r&b
21C9Dbg9CD3Dv8NaD7iW8e,tennessee hip hop
21C9Dbg9CD3Dv8NaD7iW8e,trap queen
5ITI6SEoUZMIXXkzCfr4oE,dance pop
5ITI6SEoUZMIXXkzCfr4oE,uk dance
0dUYLC7DLjeS8gIh8cz2Pq,alternative r&b
1ewyVtTZBqFYWIcepopRhp,chicago rap
1ewyVtTZBqFYWIcepopRhp,indie hip hop
1ewyVtTZBqFYWIcepopRhp,underground hip hop
58hqTaCiqGrMsNmmm3qL7w,alternative r&b
0Adbm5kzcPUxFybf9fhjgG,soulful house
5d6YpWfrSRRZBTgfLt0xcz,indie electropop
6I3MElirhT5t6Kf7p0hGk9,alternative r&b
5Q81rlcTFh3k6DQJXPdsot,channel islands indie
5Q81rlcTFh3k6DQJXPdsot,escape room
5Q81rlcTFh3k6DQJXPdsot,hyperpop
5Q81rlcTFh3k6DQJXPdsot,indie soul
5Q81rlcTFh3k6DQJXPdsot,vapor soul
2fOvE1l01YyORhYzwoaLCM,alternative r&b
2fOvE1l01YyORhYzwoaLCM,uk contemporary r&b
7bcjgJLky9kVQ4GcrQTibn,straight-ahead jazz
5RTLRtXjbXI2lSXc6jxlAz,alternative r&b
5RTLRtXjbXI2lSXc6jxlAz,indie soul
3WGpXCj9YhhfX11TToZcXP,australian pop
3WGpXCj9YhhfX11TToZcXP,pop
3WGpXCj9YhhfX11TToZcXP,viral pop
25uiPmTg16RbhZWAqwLBy5,art pop
25uiPmTg16RbhZWAqwLBy5,candy pop
25uiPmTg16RbhZWAqwLBy5,metropopolis
25uiPmTg16RbhZWAqwLBy5,pop
